FID,LATITUDE,LONGITUDE,POCO,POCO_OPERA,BACIA,CAMPO,BLOCO,UF,TIPO,OPERADORA,RESULTADO,Acidente_mecanico,INICIO,TERMINO,CONCLUSAO,Concl_ano,platafor,ano_fabric,ID,Plataforma_nome,Lata_Velha
963,-23.55306556,-41.43336667,9-OGX-26HP-RJS,9OGXWAIMEAHPRJS,Campos,,C-M-592,RJ,desenvolvimento,OGX,descobridor de campo com oleo,,11/26/2010,1/7/2011,3/23/2011,2011,,0,0,,
964,-24.22646583,-44.26010194,1-OGX-63-SPS,1OGXFORTALEZASPS,Santos,,S-M-268,SP,exploratorio,OGX,abandonado por acidente mecanico,SIM,10/8/2011,10/23/2011,10/25/2011,2011,Ocean Quest,1973,53,Ocean Quest,SIM
965,-25.14985611,-45.78946083,1-MRK-2-SPS,1MRK2SPS,Santos,,BM-S-29,SP,exploratorio,OGX,abandonado por acidente mecanico,SIM,8/16/2009,8/22/2009,,0,Sovereign Explorer,1984,0,Sovereign Explorer,
966,-24.22865361,-44.0261625,1-OGX-19-RJS,1OGXARACAJURJS,Santos,,S-M-270,RJ,exploratorio,OGX,abandonado por acidente mecanico,SIM,8/13/2010,8/19/2010,,0,Ocean Quest,1973,0,Ocean Quest,Sim
967,-23.66013611,-41.56662611,1-OGX-7-RJS,1OGXHUNARJS,Campos,,C-M-620,RJ,exploratorio,OGX,abandonado por acidente mecanico,SIM,2/12/2010,2/17/2010,2/25/2010,2010,OCEAN LEXINGTON,1976,40,Ocean Lexington,SIM
968,-23.62327,-41.46632194,3-OGX-9D-RJS,3OGXVESUVIODRJS,Campos,,C-M-621,RJ,exploratorio,OGX,abandonado por acidente mecanico,SIM,2/26/2010,3/16/2010,3/25/2010,2010,OCEAN AMBASSADOR,1975,41,Ocean Ambassador,SIM
969,-24.0864075,-44.03210056,1-OGX-17-RJS,1OGXBELEMRJS,Santos,,S-M-226,RJ,exploratorio,OGX,abandonado por acidente mecanico,SIM,7/22/2010,8/13/2010,8/24/2010,2010,OCEAN STAR,1974,42,Ocean Star,SIM
970,-23.14210444,-41.04383417,1-OGX-18-RJS,1OGXINGARJS,Campos,,C-M-499,RJ,exploratorio,OGX,abandonado por acidente mecanico,SIM,7/29/2010,8/12/2010,8/13/2010,2010,OCEAN LEXINGTON,1976,43,Ocean Lexington,SIM
971,-23.14878333,-41.10039444,4-OGX-45D-RJS,4OGXWAIKIKI3DRJS,Campos,,C-M-499,RJ,exploratorio,OGX,abandonado por acidente mecanico,SIM,5/4/2011,5/8/2011,5/9/2011,2011,SEA EXPLORER (ENSCO 5002),1975,54,ENSCO 5002,SIM
972,-23.50321778,-41.48885333,1-OGX-2-RJS,1OGX2RJS,Campos,,C-M-592,RJ,exploratorio,OGX,abandonado por acidente mecanico,SIM,10/21/2009,11/5/2009,11/8/2009,2009,OCEAN AMBASSADOR,1975,31,Ocean Ambassador,SIM
973,-23.10521028,-41.10972778,1-OGX-29A-RJS,1OGX29ARJS,Campos,,C-M-466,RJ,exploratorio,OGX,abandonado por acidente mecanico,SIM,1/3/2011,1/5/2011,1/5/2011,2011,OCEAN LEXINGTON,1976,55,Ocean Lexington,SIM
974,-23.62324222,-41.46627639,3-OGX-9DA-RJS,3OGX9DARJS,Campos,,C-M-621,RJ,exploratorio,OGX,abandonado por acidente mecanico,SIM,3/27/2010,4/4/2010,4/6/2010,2010,OCEAN AMBASSADOR,1975,44,Ocean Ambassador,SIM
975,-23.15749028,-41.04337806,3-OGX-64DP-RJS,3OGXINGA1DPRJS,Campos,,C-M-499,RJ,exploratorio,OGX,abandonado por acidente mecanico,SIM,10/12/2011,11/3/2011,11/3/2011,2011,OCEAN LEXINGTON,1976,56,Ocean Lexington,SIM
976,-23.07169306,-41.12029056,1-OGX-86-RJS,1OGXCAMBOINHASRJS,Campos,,C-M-466,RJ,exploratorio,OGX,,,6/16/2012,6/30/2012,7/7/2012,2012,,0,0,,
977,-23.66514889,-41.51669278,1-OGX-87-RJS,1OGXVILLARRICARJS,Campos,,C-M-620,RJ,exploratorio,OGX,,,6/20/2012,7/29/2012,8/9/2012,2012,,0,0,,
978,-23.55949028,-41.43035694,9-OGX-60HP-RJS,9OGXWAIMEA2HPRJS,Campos,TUBARAO AZUL,C-M-592,RJ,desenvolvimento,OGX,,,8/22/2011,10/25/2011,1/9/2012,2012,,0,0,,
979,-23.72834417,-41.42682639,1-OGX-78-RJS,1OGXHONOLULURJS,Campos,,C-M-621,RJ,exploratorio,OGX,,,3/25/2012,6/24/2012,7/9/2012,2012,,0,0,,
980,-23.12375194,-41.07344972,9-OGX-44HP-RJS,9OGXWAIKIKI2HPRJS,Campos,,C-M-466,RJ,desenvolvimento,OGX,,,4/29/2011,5/23/2011,6/25/2011,2011,,0,0,,
981,-23.54666944,-41.42504722,9-OGX-68HP-RJS,9OGXWAIMEA4HPRJS,Campos,,C-M-592,RJ,desenvolvimento,OGX,,,11/24/2011,12/21/2011,3/26/2012,2012,,0,0,,
982,-23.07149528,-41.06261278,1-OGX-79-RJS,1OGXITACOATIARARJS,Campos,,C-M-466,RJ,exploratorio,OGX,,,4/4/2012,4/21/2012,6/4/2012,2012,,0,0,,
983,-23.47630194,-41.44777944,3-OGX-80-RJS,3OGXPIPELINE6RJS,Campos,,C-M-592,RJ,exploratorio,OGX,,,4/9/2012,4/21/2012,5/19/2012,2012,,0,0,,
984,-23.56811056,-41.4038975,3-OGX-81-RJS,3OGXTAMBORA2RJS,Campos,,C-M-592,RJ,exploratorio,OGX,,,4/24/2012,5/18/2012,5/28/2012,2012,,0,0,,
985,-23.54668972,-41.42499833,3-OGX-65D-RJS,3OGXWAIMEA4DRJS,Campos,TUBARAO AZUL,C-M-592,RJ,exploratorio,OGX,,,10/22/2011,11/16/2011,11/23/2011,2011,,0,0,,
