FID,LATITUDE,LONGITUDE,POCO,POCO_OPERA,BACIA,CAMPO,BLOCO,UF,TIPO,OPERADORA,RESULTADO,Acidente_mecanico,INICIO,TERMINO,CONCLUSAO,Concl_ano,platafor,ano_fabric,ID,Plataforma_nome,Lata_Velha
0,-26.081375,-46.31198889,1-VBEP-1-SPS,SABIA1X,Santos,,S-M-1100,SP,exploratorio,VANCO,,,7/7/2012,8/31/2012,,0,,0,0,,
1,-25.99241667,-46.13046389,1-VBEP-2-SPS,Canario-1X,Santos,,S-M-1036,SP,exploratorio,VANCO,,,9/22/2012,,,0,,0,0,,
2,-23.45742639,-40.64088361,3-BRSA-481-RJS,3RJS648,Campos,XERELETE,BC-2,RJ,exploratorio,TOTAL E&P BRASIL,produtor comercial de oleo,,2/25/2007,3/12/2007,5/4/2007,2007,,0,0,,
3,-23.41751667,-41.442175,6-STAT-2DP-RJS,6STAT2DPRJS,Campos,,C-M-529,RJ,exploratorio,STATOIL BRASIL,seco sem indicios de petroleo,,4/23/2011,4/27/2011,6/10/2011,2011,,0,0,,
4,-23.39668889,-41.37739722,3-STAT-6DP-RJS,3STAT6DPRJS,Campos,PEREGRINO,,RJ,exploratorio,STATOIL BRASIL,seco sem indicios de petroleo,,7/10/2011,7/16/2011,7/27/2011,2011,,0,0,,
5,-23.36786472,-41.3404075,3-PRG-1DA-RJS,3PRG1DARJS,Campos,PEREGRINO,BM-C-7,RJ,exploratorio,STATOIL BRASIL,produtor comercial de oleo,,6/4/2007,6/28/2007,6/30/2007,2007,,0,0,,
6,-23.29553139,-41.20745639,7-PRG-4H-RJS,BMC7B14,Campos,PEREGRINO,BM-C-7,RJ,desenvolvimento,STATOIL BRASIL,produtor comercial de oleo,,2/24/2011,3/25/2011,4/7/2011,2011,,0,0,,
7,-23.24553083,-41.20751972,7-PRG-2HB-RJS,BMC7B22T3,Campos,PEREGRINO,BM-C-7,RJ,desenvolvimento,STATOIL BRASIL,produtor comercial de oleo,,1/16/2011,2/3/2011,2/23/2011,2011,,0,0,,
8,-23.41751667,-41.442175,3-STAT-4DP-RJS,3STAT4DPRJS,Campos,,C-M-529,RJ,exploratorio,STATOIL BRASIL,portador de oleo,,5/25/2011,5/28/2011,6/8/2011,2011,,0,0,,
9,-23.41751667,-41.442175,3-STAT-3DP-RJS,3STAT3DPRJS,Campos,,C-M-529,RJ,exploratorio,STATOIL BRASIL,portador de oleo,,5/10/2011,5/13/2011,6/10/2011,2011,,0,0,,
10,-23.35119806,-41.3404075,3-PRG-1-RJS,3PRG1RJS,Campos,PEREGRINO,BM-C-7,RJ,exploratorio,STATOIL BRASIL,portador de oleo,,5/5/2007,6/3/2007,6/3/2007,2007,,0,0,,
11,-23.39668944,-41.37739778,3-STAT-5D-RJS,3PRG2DRJS,Campos,PEREGRINO,BM-C-7,RJ,exploratorio,STATOIL BRASIL,portador de oleo,,6/10/2011,7/1/2011,7/27/2011,2011,,0,0,,
12,-23.41751667,-41.442175,1-STAT-1D-RJS,PEREGRINO SUL,Campos,,C-M-529,RJ,exploratorio,STATOIL BRASIL,descobridor de nova jazida com oleo,,3/11/2011,4/9/2011,6/10/2011,2011,,0,0,,
13,-23.24553083,-41.20751972,7-PRG-2H-RJS,BMC7B22,Campos,PEREGRINO,BM-C-7,RJ,desenvolvimento,STATOIL BRASIL,abandonado por outras razoes,,11/10/2010,11/11/2010,11/15/2010,2010,,0,0,,
14,-23.24553083,-41.20751972,7-PRG-2HA-RJS,BMC7B22T2,Campos,PEREGRINO,BM-C-7,RJ,desenvolvimento,STATOIL BRASIL,abandonado por objetivo/alvo nao atingido,,11/17/2010,12/10/2010,1/12/2011,2011,,0,0,,
15,-23.33391972,-41.29803417,7-PRG-19HA-RJS,BMC7A09T2,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,6/17/2012,7/30/2012,,0,,0,0,,
16,-23.33391889,-41.29806583,7-PRG-8HPB-RJS,BMC7A13AT3,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,12/13/2011,12/29/2011,1/7/2012,2012,,0,0,,
17,-23.33389056,-41.29803333,7-PRG-9H-RJS,BMC7A3,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,6/16/2011,7/29/2011,8/22/2011,2011,,0,0,,
18,-23.29557472,-41.20750444,8-PRG-15D-RJS,BMC7B29A,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,2/7/2012,2/28/2012,3/6/2012,2012,,0,0,,
19,-23.29554556,-41.20750417,7-PRG-10H-RJS,BMC7B23,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,7/3/2011,7/26/2011,8/17/2011,2011,,0,0,,
20,-23.29553111,-41.20748806,7-PRG-5H-RJS,BMC7B18,Campos,PEREGRINO,BM-C-7,RJ,desenvolvimento,STATOIL BRASIL,,,3/3/2011,4/26/2011,5/8/2011,2011,,0,0,,
21,-23.29551694,-41.20744056,8-PRG-13D-RJS,BMC7B29,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,12/28/2011,1/25/2012,2/23/2012,2012,,0,0,,
22,-23.29548806,-41.20744028,7-PRG-20H-RJS,BMC7B03Y1,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,7/22/2012,8/24/2012,,0,,0,0,,
23,-23.29551694,-41.20744056,7-PRG-12H-RJS,BMC7B9,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,9/27/2011,10/20/2011,10/29/2011,2011,,0,0,,
24,-23.33391889,-41.29806583,7-PRG-6H-RJS,BMC7A13,Campos,PEREGRINO,BM-C-7,RJ,desenvolvimento,STATOIL BRASIL,,,4/23/2011,5/20/2011,5/30/2011,2011,,0,0,,
25,-23.33393333,-41.29808194,7-PRG-11H-RJS,BMC7A18,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,9/11/2011,10/18/2011,10/21/2011,2011,,0,0,,
26,-23.33391972,-41.29803417,7-PRG-19H-RJS,BMC7A09,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,6/7/2012,6/17/2012,,0,,0,0,,
27,-23.29550222,-41.20745611,7-PRG-7H-RJS,BMC7B08,Campos,PEREGRINO,BM-C-7,RJ,desenvolvimento,STATOIL BRASIL,,,5/14/2011,6/15/2011,7/1/2011,2011,,0,0,,
28,-23.33394833,-41.29806667,7-PRG-17H-RJS,BMC7A19T3,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,4/22/2012,5/13/2012,5/12/2012,2012,,0,0,,
29,-23.33383611,-41.29804972,7-PRG-3H-RJS,BMC7A08,Campos,PEREGRINO,BM-C-7,RJ,desenvolvimento,STATOIL BRASIL,,,2/5/2011,3/13/2011,4/16/2011,2011,,0,0,,
30,-23.29548806,-41.20744028,7-PRG-21HP-RJS,BM-C-7-B-03-Y2,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,9/2/2012,9/12/2012,,0,,0,0,,
31,-23.33391889,-41.29806583,7-PRG-8HP-RJS,BMC7A13A,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,5/30/2011,6/8/2011,11/8/2011,2011,,0,0,,
32,-23.3339325,-41.29811361,7-PRG-16H-RJS,BMC7B19,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,10/12/2011,4/6/2012,4/30/2012,2012,,0,0,,
33,-23.29554583,-41.2074725,7-PRG-16HA-RJS,BMC7B19T2,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,4/29/2012,5/5/2012,5/5/2012,2012,,0,0,,
34,-23.29551667,-41.20747222,7-PRG-18H-RJS,BMC7B13,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,6/1/2012,7/4/2012,,0,,0,0,,
35,-23.29551694,-41.20744056,7-PRG-12HA-RJS,BMC7B9A,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,10/29/2011,11/3/2011,11/29/2011,2011,,0,0,,
36,-23.33391889,-41.29806583,7-PRG-8HPA-RJS,BMC7A13AT2,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,11/7/2011,12/2/2011,12/13/2011,2011,,0,0,,
37,-23.40287778,-41.42285278,3-STAT-8-RJS,3STAT8RJS,Campos,PEREGRINO,,RJ,exploratorio,STATOIL BRASIL,,,8/31/2012,,,0,,0,0,,
38,-23.33394833,-41.29806667,7-PRG-14HA-RJS,BMC7A19T2,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,2/4/2012,,3/10/2012,2012,,0,0,,
39,-23.33394833,-41.29806667,7-PRG-14H-RJS,BMC7A19,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,1/26/2012,,2/4/2012,2012,,0,0,,
40,-23.33391972,-41.29809806,7-PRG-22H-RJS,BM-C-7-A-23,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,8/17/2012,,,0,,0,0,,
41,-23.33391972,-41.29809806,7-PRG-23HP-RJS,BM-C-7-A-23T2,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,10/6/2012,,,0,,0,0,,
42,-24.03894083,-44.13743056,1-STAR-21-RJS,1PEL1RJS,Santos,,S-M-225,RJ,exploratorio,SONANGOL STARFISH,seco sem indicios de petroleo,,9/2/2011,11/30/2011,1/5/2012,2012,,0,0,,
43,-24.03894083,-44.13743056,6-STAR-25PA-RJS,6PEL2PARJS,Santos,,S-M-225,RJ,exploratorio,SONANGOL STARFISH,seco com indicios de oleo,,4/9/2012,5/25/2012,6/14/2012,2012,,0,0,,
44,-23.72003111,-41.31041417,1-STAR-19-RJS,1SKU1RJS,Campos,,C-M-622,RJ,exploratorio,SONANGOL STARFISH,seco com indicios de oleo,,1/25/2011,5/20/2011,9/2/2011,2011,,0,0,,
45,-23.16104222,-41.15314917,1-STAR-20-RJS,1PAR1RJS,Campos,,C-M-498,RJ,exploratorio,SONANGOL STARFISH,seco com indicios de oleo,,2/23/2011,4/19/2011,5/13/2011,2011,,0,0,,
46,-24.03865833,-44.13584917,6-STAR-25P-RJS,6PEL2PRJS,Santos,,S-M-225,RJ,exploratorio,SONANGOL STARFISH,abandonado por acidente mecanico,SIM,1/23/2012,1/29/2012,4/9/2012,2012,Blackford Dolphin,1974,57,Blackford Dolphin,SIM
47,-23.63011083,-41.342475,6-STAR-24P-RJS,6GAV2PRJS,Campos,,C-M-622,RJ,exploratorio,SONANGOL STARFISH,,,11/11/2011,12/29/2011,3/28/2012,2012,,0,0,,
48,-23.63011083,-41.342475,1-STAR-22-RJS,1GAV1RJS,Campos,,C-M-622,RJ,exploratorio,SONANGOL STARFISH,,,9/14/2011,11/11/2011,1/5/2012,2012,,0,0,,
49,-21.18725889,-39.82781139,3-ARGO-1-ESS,3ARGO1ESS,Campos,ARGONAUTA,BC-10,Espirito Santo,exploratorio,SHELL BRASIL,produtor subcomercial de oleo,,3/26/2008,4/14/2008,4/25/2008,2008,,0,0,,
50,-21.21002528,-39.64987556,7-OST-9H-ESS,7OST9HESS,Campos,OSTRA,BC-10,Espirito Santo,desenvolvimento,SHELL BRASIL,produtor comercial de oleo,,6/23/2009,7/28/2009,9/23/2009,2009,,0,0,,
51,-21.22631917,-39.66010722,7-OST-2H-ESS,7OST2HESS,Campos,OSTRA,BC-10,Espirito Santo,desenvolvimento,SHELL BRASIL,produtor comercial de oleo,,5/13/2008,9/21/2008,10/9/2008,2008,,0,0,,
52,-21.20957361,-39.64961389,7-OST-6H-ESS,7OST6HESS,Campos,OSTRA,BC-10,Espirito Santo,desenvolvimento,SHELL BRASIL,produtor comercial de oleo,,1/31/2009,9/20/2009,9/20/2009,2009,,0,0,,
53,-21.21007944,-39.6497275,9-OST-8DP-ESS,9OST8DPESS,Campos,OSTRA,BC-10,Espirito Santo,desenvolvimento,SHELL BRASIL,produtor comercial de oleo,,2/13/2009,2/16/2009,2/19/2009,2009,,0,0,,
54,-21.35986944,-39.609515,7-ABA-2D-ESS,7ABA2DESS,Campos,ABALONE,BC-10,Espirito Santo,desenvolvimento,SHELL BRASIL,produtor comercial de oleo,,11/15/2008,12/12/2008,1/13/2009,2009,,0,0,,
55,-22.63701778,-40.44913778,7-SA-7HP-RJS,7SA7HPRJS,Campos,SALEMA,SA,RJ,desenvolvimento,SHELL BRASIL,produtor comercial de oleo,,5/24/2009,6/9/2009,6/26/2009,2009,,0,0,,
56,-21.21009139,-39.64974611,7-OST-7H-ESS,7OST7HESS,Campos,OSTRA,BC-10,Espirito Santo,desenvolvimento,SHELL BRASIL,produtor comercial de oleo,,2/3/2009,4/9/2009,10/14/2009,2009,,0,0,,
57,-21.22649889,-39.66016861,7-OST-1H-ESS,7OST1HESS,Campos,OSTRA,BC-10,Espirito Santo,desenvolvimento,SHELL BRASIL,produtor comercial de oleo,,4/28/2008,8/6/2008,8/6/2008,2008,,0,0,,
58,-21.22662056,-39.65970361,7-OST-3H-ESS,7OST3HESS,Campos,OSTRA,BC-10,Espirito Santo,desenvolvimento,SHELL BRASIL,produtor comercial de oleo,,5/6/2008,9/5/2008,10/25/2008,2008,,0,0,,
59,-21.36059361,-39.60958556,3-ABA-1-ESS,3ABA1ESS,Campos,ABALONE,BC-10,Espirito Santo,exploratorio,SHELL BRASIL,produtor comercial de oleo,,2/7/2007,3/2/2007,3/4/2007,2007,,0,0,,
60,-24.94250306,-43.04560444,1-SHEL-23-RJS,1SHEL23RJS,Santos,PA-1SHEL23RJS-S-M-518,S-M-518,RJ,exploratorio,SHELL BRASIL,portador de oleo,,8/9/2010,10/26/2010,11/14/2010,2010,,0,0,,
61,-24.88876056,-43.05163389,3-SHEL-27-RJS,3SHEL27RJS,Santos,,S-M-518,RJ,exploratorio,SHELL BRASIL,portador de oleo,,4/3/2012,6/25/2012,7/18/2012,2012,,0,0,,
62,-21.28877861,-39.92714306,3-SHEL-22-ESS,3NAU1ESS,Campos,NAUTILUS,BC-10,Espirito Santo,exploratorio,SHELL BRASIL,portador de oleo,,3/11/2010,6/20/2010,7/5/2010,2010,,0,0,,
63,-21.2566325,-39.90301806,3-SHEL-24-ESS,3SHEL24ESS,Campos,NAUTILUS,BC-10,Espirito Santo,exploratorio,SHELL BRASIL,portador de oleo,,10/8/2010,10/18/2010,12/2/2010,2010,,0,0,,
64,-21.22256639,-39.68251528,9-OST-4-ESS,9OST4ESS,Campos,OSTRA,BC-10,Espirito Santo,desenvolvimento,SHELL BRASIL,injetor - gas,,1/11/2009,4/12/2009,5/5/2009,2009,,0,0,,
65,-21.24182917,-39.88861833,3-SHEL-25-ESS,3SHEL25ESS,Campos,NAUTILUS,BC-10,Espirito Santo,exploratorio,SHELL BRASIL,extensao produtor de oleo,,5/31/2011,6/29/2011,7/12/2011,2011,,0,0,,
66,-24.7834325,-43.1083825,1-SHEL-26-RJS,1SHEL26RJS,Santos,,S-M-518,RJ,exploratorio,SHELL BRASIL,descobridor de nova jazida com oleo,,10/18/2011,1/3/2012,1/28/2012,2012,,0,0,,
67,-21.21002778,-39.65001722,7-OST-5H-ESS,7OST5HESS,Campos,OSTRA,BC-10,Espirito Santo,desenvolvimento,SHELL BRASIL,abandonado por outras razoes,,1/28/2009,3/27/2009,4/1/2009,2009,,0,0,,
68,-22.66081722,-40.40850667,7-BJ-22HP-RJS,BJR Lateral,Campos,BIJUPIRA,BJ,RJ,desenvolvimento,SHELL BRASIL,,,8/15/2010,8/30/2010,8/31/2010,2010,,0,0,,
69,-21.2016375,-39.81642139,7-ARGO-2H-ESS,7ARGO2HESS,Campos,ARGONAUTA,BC-10,Espirito Santo,desenvolvimento,SHELL BRASIL,,,10/16/2009,11/20/2009,12/24/2009,2009,,0,0,,
70,-22.63701389,-40.44911889,9-SA-6D-RJS,9SA6DRJS,Campos,SALEMA,SA,RJ,desenvolvimento,SHELL BRASIL,,,5/4/2009,5/19/2009,6/26/2009,2009,,0,0,,
71,-21.22645611,-39.65964944,7-OST-10H-ESS,7OST10HESS,Campos,OSTRA,BC-10,Espirito Santo,desenvolvimento,SHELL BRASIL,,,1/19/2010,2/19/2010,3/9/2010,2010,,0,0,,
72,-22.66081722,-40.40850667,9-BJ-21D-RJS,BJR Pilot,Campos,BIJUPIRA,BJ,RJ,desenvolvimento,SHELL BRASIL,,,7/5/2010,8/15/2010,8/15/2010,2010,,0,0,,
73,-22.66125056,-40.40856806,9-BJ-23D-RJS,BJP Pilot,Campos,BIJUPIRA,,RJ,desenvolvimento,SHELL BRASIL,,,7/12/2011,8/12/2011,8/12/2011,2011,,0,0,,
74,-22.66125056,-40.40856806,7-BJ-24HP-RJS,BJP Lateral,Campos,BIJUPIRA,,RJ,desenvolvimento,SHELL BRASIL,,,8/13/2011,9/10/2011,9/10/2011,2011,,0,0,,
75,-21.25787222,-39.90140472,3-SHEL-24A-ESS,3SHEL24AESS,Campos,NAUTILUS,BC-10,Espirito Santo,exploratorio,SHELL BRASIL,,,10/31/2010,11/8/2010,12/2/2010,2010,,0,0,,
76,-21.20185194,-39.81622361,7-ARGO-3H-ESS,7ARGO3HESS,Campos,ARGONAUTA,BC-10,Espirito Santo,desenvolvimento,SHELL BRASIL,,,10/23/2009,12/7/2009,12/24/2009,2009,,0,0,,
77,-21.1510525,-39.81959833,7-ARGO-10H-ESS,7ARGO10HESS,Campos,ARGONAUTA,,Espirito Santo,desenvolvimento,SHELL BRASIL,,,4/23/2012,,,0,,0,0,,
78,-21.15442417,-39.83077806,7-ARGO-13H-ESS,7ARGO13HESS,Campos,ARGONAUTA,,Espirito Santo,desenvolvimento,SHELL BRASIL,,,4/29/2012,,,0,,0,0,,
79,-21.15517694,-39.83045167,7-ARGO-14H-ESS,7ARGO14HESS,Campos,ARGONAUTA,,Espirito Santo,desenvolvimento,SHELL BRASIL,,,4/30/2012,,,0,,0,0,,
80,-21.13595444,-39.77946833,7-ARGO-4HA-ESS,7ARGO4HAESS,Campos,ARGONAUTA,,Espirito Santo,desenvolvimento,SHELL BRASIL,,,9/7/2012,,,0,,0,0,,
81,-21.13595444,-39.77946833,7-ARGO-4H-ESS,7ARGO4HESS,Campos,ARGONAUTA,,Espirito Santo,desenvolvimento,SHELL BRASIL,,,4/12/2012,,,0,,0,0,,
82,-21.13632306,-39.77997444,7-ARGO-5H-ESS,7ARGO5HESS,Campos,ARGONAUTA,,Espirito Santo,desenvolvimento,SHELL BRASIL,,,4/14/2012,,,0,,0,0,,
83,-21.15059694,-39.81918639,7-ARGO-8H-ESS,7ARGO8HESS,Campos,ARGONAUTA,,Espirito Santo,desenvolvimento,SHELL BRASIL,,,4/20/2012,,,0,,0,0,,
84,-21.15073889,-39.819075,7-ARGO-9H-ESS,7ARGO9HESS,Campos,ARGONAUTA,,Espirito Santo,desenvolvimento,SHELL BRASIL,,,4/22/2012,,,0,,0,0,,
85,-21.15574972,-39.8084925,8-ARGO-11H-ESS,8ARGO11HESS,Campos,ARGONAUTA,,Espirito Santo,desenvolvimento,SHELL BRASIL,,,4/25/2012,,,0,,0,0,,
86,-21.15508083,-39.80840417,8-ARGO-12H-ESS,8ARGO12HESS,Campos,ARGONAUTA,,Espirito Santo,desenvolvimento,SHELL BRASIL,,,4/27/2012,,,0,,0,0,,
87,-21.13944833,-39.82015333,8-ARGO-6H-ESS,8ARGO6HESS,Campos,ARGONAUTA,,Espirito Santo,desenvolvimento,SHELL BRASIL,,,4/17/2012,,,0,,0,0,,
88,-21.13973417,-39.820645,8-ARGO-7H-ESS,8ARGO7HESS,Campos,ARGONAUTA,,Espirito Santo,desenvolvimento,SHELL BRASIL,,,4/19/2012,,,0,,0,0,,
89,-21.14018139,-39.81243583,9-ARGO-15DP-ESS,9ARGO15DPESS,Campos,ARGONAUTA,,Espirito Santo,desenvolvimento,SHELL BRASIL,,,7/31/2012,,,0,,0,0,,
90,-21.13944639,-39.82015083,9-ARGO-16DP-ESS,9ARGO16DPESS,Campos,ARGONAUTA,,Espirito Santo,desenvolvimento,SHELL BRASIL,,,10/6/2012,,,0,,0,0,,
91,-23.89283194,-42.73004694,1-SHEL-21A-RJS,1SHEL21ARJS,Santos,,BM-S-31,RJ,exploratorio,SHELL,seco com indicios de oleo e gas,,3/9/2007,4/22/2007,6/1/2007,2007,,0,0,,
92,-23.89409306,-42.72886556,1-SHEL-21-RJS,1SHEL21RJS,Santos,,BM-S-31,RJ,exploratorio,SHELL,especial - observacao,,3/5/2007,3/6/2007,3/6/2007,2007,,0,0,,
93,-23.28964444,-40.20712222,1-REPF-5-RJS,SEAT,Campos,,C-M-539,RJ,exploratorio,REPSOL,seco sem indicios de petroleo,,9/30/2009,11/28/2009,12/7/2009,2009,,0,0,,
94,-20.83083333,-39.33138889,1-REPF-7A-ESS,MALBECST,Espirito Santo,,ES-M-737,Espirito Santo,exploratorio,REPSOL,seco sem indicios de petroleo,,6/1/2010,7/18/2010,8/5/2010,2010,,0,0,,
95,-25.20920861,-44.78145556,1-REPF-10-SPS,PEPE,Santos,,S-M-675,SP,exploratorio,REPSOL,seco sem indicios de petroleo,,9/10/2010,10/11/2010,10/27/2010,2010,,0,0,,
96,-20.71191583,-39.45648556,1-HESS-4A-ESS,LENCOIS1A,Espirito Santo,,ES-M-665,Espirito Santo,exploratorio,REPSOL,seco com indicios de oleo e gas,,10/1/2009,10/21/2009,10/28/2009,2009,,0,0,,
97,-25.19268056,-45.00256111,4-REPF-8-SPS,PANORAMIX2,Santos,,S-M-673,SP,exploratorio,REPSOL,seco com indicios de oleo,,3/7/2010,4/27/2010,5/18/2010,2010,,0,0,,
98,-24.97561389,-44.73086389,1-REPF-9-SPS,ASTERIX,Santos,,S-M-506,SP,exploratorio,REPSOL,seco com indicios de gas,,5/22/2010,8/7/2010,9/5/2010,2010,,0,0,,
99,-23.385185,-40.10183861,1-REPF-12D-RJS,PAODEACUCAR,Campos,,C-M-539,RJ,exploratorio,REPSOL,produtor comercial de oleo,,8/9/2011,1/10/2012,3/8/2012,2012,,0,0,,
100,-25.21672278,-44.99217472,1-REPF-3D-SPS,PANORAMIX,Santos,,S-M-674,SP,exploratorio,REPSOL,portador de oleo gas e condensado,,10/6/2008,1/2/2009,5/3/2009,2009,,0,0,,
101,-23.35441944,-40.20850333,1-REPF-11A-RJS,GAVEA_1C,Campos,,C-M-539,RJ,exploratorio,REPSOL,portador de oleo,,12/22/2010,4/20/2011,5/13/2011,2011,,0,0,,
102,-25.4575,-45.43194444,1-REPF-4-SPS,VAMPIRA,Santos,,S-M-789,SP,exploratorio,REPSOL,portador de oleo,,5/7/2009,7/16/2009,8/11/2009,2009,,0,0,,
103,-23.28964444,-40.20712222,6-REPF-6P-RJS,SEAT DEEP,Campos,,C-M-539,RJ,exploratorio,REPSOL,portador de oleo,,12/9/2009,2/5/2010,2/22/2010,2010,,0,0,,
104,-23.34950056,-40.20540778,1-REPF-11-RJS,GAVEA,Campos,,C-M-539,RJ,exploratorio,REPSOL,abandonado por acidente mecanico,SIM,11/23/2010,11/28/2010,12/12/2010,2010,STENA DrillMax,2008,32,Stena DrillMax,
105,-20.71191583,-39.45648556,1-HESS-4-ESS,LENCOIS1,Espirito Santo,,ES-M-665,Espirito Santo,exploratorio,REPSOL,abandonado por acidente mecanico,SIM,9/16/2009,9/27/2009,,0,Deepwater Discovery,0,0,,
106,-20.83083333,-39.33138889,1-REPF-7-ESS,MALBEC,Espirito Santo,,ES-M-737,Espirito Santo,exploratorio,REPSOL,abandonado por acidente mecanico,SIM,2/25/2010,4/10/2010,6/1/2010,2010,STENA DrillMax,2008,33,Stena DrillMax,
107,-19.73157306,-39.16427444,1-BRSA-736D-ESS,1ESS189D,Espirito Santo,,ES-M-414,Espirito Santo,exploratorio,PETROBRAS,seco sem indicios de petroleo,,5/24/2009,6/30/2009,7/7/2009,2009,,0,0,,
108,-21.88728694,-39.73236306,6-BRSA-963DA-RJS,6RO103DARJS,Campos,RONCADOR,,RJ,exploratorio,PETROBRAS,seco sem indicios de petroleo,,1/12/2012,1/29/2012,3/24/2012,2012,,0,0,,
109,-21.02399167,-39.87239306,1-BRSA-606-ESS,1ESS176,Campos,,BM-C-25,Espirito Santo,exploratorio,PETROBRAS,seco sem indicios de petroleo,,4/27/2008,6/24/2008,7/3/2008,2008,,0,0,,
110,-20.53185528,-39.70679778,1-BRSA-735-ESS,1ESS190,Espirito Santo,,ES-M-663,Espirito Santo,exploratorio,PETROBRAS,seco sem indicios de petroleo,,5/17/2009,6/18/2009,6/29/2009,2009,,0,0,,
111,-26.50908194,-46.38112472,3-BRSA-929P-SPS,3SPS84P,Santos,,S-M-1352,SP,exploratorio,PETROBRAS,seco sem indicios de petroleo,,3/16/2011,3/18/2011,3/25/2011,2011,,0,0,,
112,-25.54600667,-45.57463889,3-BRSA-749A-SPS,3SPS67A,Santos,,BM-S-3,SP,exploratorio,PETROBRAS,seco sem indicios de petroleo,,7/5/2009,9/17/2009,9/24/2009,2009,,0,0,,
113,-22.47845528,-39.96319778,6-BRSA-726DP-RJS,6MLL57DPRJS,Campos,MARLIM LESTE,MLL,RJ,exploratorio,PETROBRAS,seco sem indicios de petroleo,,4/21/2009,5/15/2009,6/2/2009,2009,,0,0,,
114,-25.45168722,-45.11927944,1-BRSA-890-SPS,1SPS79,Santos,,S-M-792,SP,exploratorio,PETROBRAS,seco sem indicios de petroleo,,11/15/2010,12/14/2010,12/27/2010,2010,,0,0,,
115,-19.59695194,-39.26145639,4-BRSA-611DP-ESS,4ESS183DP,Espirito Santo,,ES-M-413,Espirito Santo,exploratorio,PETROBRAS,seco sem indicios de petroleo,,5/6/2008,5/14/2008,5/23/2008,2008,,0,0,,
116,-26.32934194,-46.55301528,1-BRSA-667-SPS,1SPS58,Santos,,S-M-1226,SP,exploratorio,PETROBRAS,seco sem indicios de petroleo,,9/25/2008,10/13/2008,10/18/2008,2008,,0,0,,
117,-20.25341444,-39.0246175,1-BRSA-796-ESS,1ESS192,Espirito Santo,,ES-M-592,Espirito Santo,exploratorio,PETROBRAS,seco sem indicios de petroleo,,1/4/2010,3/10/2010,3/31/2010,2010,,0,0,,
118,-26.50689944,-46.38359611,3-BRSA-917D-SPS,3SPS83D,Santos,,S-M-1352,SP,exploratorio,PETROBRAS,seco sem indicios de petroleo,,2/6/2011,3/9/2011,3/16/2011,2011,,0,0,,
119,-22.71326806,-40.587075,3-BRSA-773D-RJS,3MA33DRJS,Campos,MARIMBA,MA,RJ,exploratorio,PETROBRAS,seco sem indicios de petroleo,,10/11/2009,11/8/2009,11/23/2009,2009,,0,0,,
120,-26.6294925,-46.22005806,1-BRSA-864-SPS,1SPS75,Santos,,S-M-1354,SP,exploratorio,PETROBRAS,seco sem indicios de petroleo,,8/25/2010,9/8/2010,9/18/2010,2010,,0,0,,
121,-24.18958472,-42.69556194,3-BRSA-636-RJS,3TBU3RJS,Santos,TAMBAU,BS-500,RJ,exploratorio,PETROBRAS,seco sem indicios de petroleo,,7/3/2008,8/6/2008,8/22/2008,2008,,0,0,,
122,-26.76219778,-46.66762556,1-BRSA-980-PRS,1PRS5,Santos,,S-M-1476,PR,exploratorio,PETROBRAS,seco sem indicios de petroleo,,9/2/2011,10/5/2011,10/20/2011,2011,,0,0,,
123,-22.25584,-40.37830722,3-BRSA-660-RJS,3CRP70RJS,Campos,CARAPEBA,CRP,RJ,exploratorio,PETROBRAS,seco sem indicios de petroleo,,9/7/2008,10/5/2008,10/5/2008,2008,,0,0,,
124,-19.8647675,-39.40347222,1-BRSA-572-ESS,1ESS181,Espirito Santo,,ES-M-466,Espirito Santo,exploratorio,PETROBRAS,seco sem indicios de petroleo,,1/1/2008,2/4/2008,2/12/2008,2008,,0,0,,
